C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_30_107.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_30_107.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_30_107.jpg,0,0,0,4.593187E-06
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_30_235.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_30_235.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_30_235.jpg,0,0,0,1.224338E-05
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_30_343.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_30_343.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_30_343.jpg,0,0,0,2.969903E-06
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_30_462.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_30_462.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_30_462.jpg,0,0,0,2.372716E-05
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_30_587.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_30_587.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_30_587.jpg,0,0,0,1.337441E-06
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_30_706.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_30_706.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_30_706.jpg,0,0,0,1.204649E-05
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_30_827.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_30_827.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_30_827.jpg,0,0,0,1.344414E-05
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_30_941.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_30_941.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_30_941.jpg,0,0,0,2.840564E-06
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_31_057.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_31_057.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_31_057.jpg,0,0,0,6.619677E-06
C:\Users\admin\Desktop\smiulator\IMG\center_2021_08_17_21_44_31_179.jpg,C:\Users\admin\Desktop\smiulator\IMG\left_2021_08_17_21_44_31_179.jpg,C:\Users\admin\Desktop\smiulator\IMG\right_2021_08_17_21_44_31_179.jpg,0,0.358302,0,0.3916898
